"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"135","100","100","25911","25911","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","-36","-21","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","25911","25911","2","legacy","1024","2","48000","-16","experiment","0","even","NA","29319","811","30820","26859","27315","812","NA","947","26859","947","946","OMM Match to sample","1","25911","1","yes","1024"
"135","100","100","3137552.5","3137552.5","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","-236","30","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","6249194","6249194","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6282619","811","6284119","6280146","6280610","812","NA","30949","6280146","30949","30948","OMM Match to sample","2","6275105","2","yes","1024"
"112","100","100","2091787.3333333333","2091787.3333333333","black","no","legacy","legacy","legacy","0","relative","1","1","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","-159","-84","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","257","257","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6286964","811","6288464","6284505","6284959","812","NA","6284247","6284505","6284247","6284245","OMM Match to sample","3","6275362","3","yes","1024"
"133","100","100","1571074.25","1571074.25","black","no","legacy","legacy","legacy","0","relative","1","1","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-172","-91","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","8935","8935","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","6301483","6297525","6297979","812","NA","6288589","6297525","6288589","6288588","OMM Match to sample","4","6284297","4","yes","1024"
"142","80","80","1260893.6","1260893.6","black","no","legacy","legacy","legacy","0","relative","0","0","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","-421","338","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","20171","20171","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","6321800","6297525","6297979","812","NA","6301629","6297525","6301629","6301627","OMM Match to sample","4","6304468","5","yes","1024"
"104","66.66666666666667","66.66666666666667","1054172.1666666667","1054172.1666666667","black","no","legacy","legacy","legacy","0","relative","0","0","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","-318","205","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","20565","20565","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","6342485","6297525","6297979","812","NA","6321919","6297525","6321919","6321917","OMM Match to sample","4","6325033","6","yes","1024"
"122","57.142857142857146","57.142857142857146","907781.2857142857","907781.2857142857","black","no","legacy","legacy","legacy","0","relative","0","0","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","-166","372","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","29436","29436","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","6372040","6297525","6297979","812","NA","6342604","6297525","6342603","6342602","OMM Match to sample","4","6354469","7","yes","1024"
"138","50","50","8766995","8766995","black","no","legacy","legacy","legacy","0","relative","0","0","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","441","294","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","63781491","63781491","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","70153651","6297525","6297979","812","NA","6372159","6297525","6372159","6372158","OMM Match to sample","4","70135960","8","yes","1024"
"148","44.44444444444444","44.44444444444444","7795305","7795305","black","no","legacy","legacy","legacy","0","relative","0","0","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","422","109","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","12","12","21785","21785","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","70175584","6297525","6297979","812","NA","70153798","6297525","70153798","70153797","OMM Match to sample","4","70157745","9","yes","1024"
"133","40","40","7026724.2","7026724.2","black","no","legacy","legacy","legacy","0","relative","0","0","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","-491","320","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","109497","109497","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","70285200","6297525","6297979","812","NA","70175701","6297525","70175701","70175700","OMM Match to sample","4","70267242","10","yes","1024"
"141","36.36363636363637","36.36363636363637","6389132.181818182","6389132.181818182","black","no","legacy","legacy","legacy","0","relative","0","0","NA","10","0","10","NA","NA","0","10","10","10","10","10","undefined","-77","315","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","13212","13212","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","70298532","6297525","6297979","812","NA","70285319","6297525","70285319","70285318","OMM Match to sample","4","70280454","11","yes","1024"
"107","33.333333333333336","33.333333333333336","5984762.25","5984762.25","black","no","legacy","legacy","legacy","0","relative","0","0","NA","11","0","11","NA","NA","0","11","11","11","11","11","undefined","-168","318","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","1536693","1536693","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","71835344","6297525","6297979","812","NA","70298650","6297525","70298650","70298648","OMM Match to sample","4","71817147","12","yes","1024"
"135","30.76923076923077","30.76923076923077","5524761.307692308","5524761.307692308","black","no","legacy","legacy","legacy","0","relative","0","0","NA","12","0","12","NA","NA","0","12","12","12","12","12","undefined","52","346","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","4750","4750","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","71840224","6297525","6297979","812","NA","71835474","6297525","71835474","71835472","OMM Match to sample","4","71821897","13","yes","1024"
"139","28.571428571428573","28.571428571428573","5132264.785714285","5132264.785714285","black","no","legacy","legacy","legacy","0","relative","0","0","NA","13","0","13","NA","NA","0","13","13","13","13","13","undefined","-269","312","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","29810","29810","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","71870154","6297525","6297979","812","NA","71840342","6297525","71840342","71840340","OMM Match to sample","4","71851707","14","yes","1024"
"137","26.666666666666668","26.666666666666668","4842032.933333334","4842032.933333334","black","no","legacy","legacy","legacy","0","relative","0","0","NA","14","0","14","NA","NA","0","14","14","14","14","14","undefined","272","149","Mon Oct 11 13:22:15 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/covop/OneDrive/Documents/GitHub/OMM/11102021m1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","12","12","778787","778787","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6299983","811","72649061","6297525","6297979","812","NA","71870273","6297525","71870273","71870272","OMM Match to sample","4","72630494","15","yes","1024"
