"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"114","100","100","102984","102984","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","-64","17","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","102984","102984","2","legacy","1024","2","48000","-16","experiment","0","even","NA","106604","1024","108105","104139","104599","1029","NA","1154","104139","1154","1152","OMM Match to sample","1","102984","1","yes","1024"
"138","100","100","157594.5","157594.5","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","-220","-117","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","212205","212205","2","legacy","1024","2","48000","-16","experiment","0","even","NA","322901","1024","324401","320435","320900","1029","NA","108230","320436","108230","108229","OMM Match to sample","2","315189","2","yes","1024"
"146","66.66666666666667","66.66666666666667","186371.66666666666","186371.66666666666","black","no","legacy","legacy","legacy","0","relative","0","0","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","-486","262","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","243926","243926","2","legacy","1024","2","48000","-16","experiment","0","even","NA","322901","1024","568464","320435","320900","1029","NA","324537","320436","324537","324536","OMM Match to sample","2","559115","3","yes","1024"
"140","50","50","166563.25","166563.25","black","no","legacy","legacy","legacy","0","relative","0","0","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","64","233","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","107138","107138","2","legacy","1024","2","48000","-16","experiment","0","even","NA","322901","1024","675727","320435","320900","1029","NA","568588","320436","568588","568586","OMM Match to sample","2","666253","4","yes","1024"
"135","40","40","133288.8","133288.8","black","no","legacy","legacy","legacy","0","relative","0","0","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","301","343","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","191","191","2","legacy","1024","2","48000","-16","experiment","0","even","NA","322901","1024","676037","320435","320900","1029","NA","675844","320436","675844","675842","OMM Match to sample","2","666444","5","yes","1024"
"104","33.333333333333336","33.333333333333336","112041.16666666667","112041.16666666667","black","no","legacy","legacy","legacy","0","relative","0","0","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","-189","334","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","5803","5803","2","legacy","1024","2","48000","-16","experiment","0","even","NA","322901","1024","681955","320435","320900","1029","NA","676151","320436","676151","676150","OMM Match to sample","2","672247","6","yes","1024"
"149","28.571428571428573","28.571428571428573","610039.8571428572","610039.8571428572","black","no","legacy","legacy","legacy","0","relative","0","0","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","-172","292","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","3598032","3598032","2","legacy","1024","2","48000","-16","experiment","0","even","NA","322901","1024","4280107","320435","320900","1029","NA","682074","320436","682074","682073","OMM Match to sample","2","4270279","7","yes","1024"
"123","25","25","564750","564750","black","no","legacy","legacy","legacy","0","relative","0","0","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","130","215","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","247721","247721","2","legacy","1024","2","48000","-16","experiment","0","even","NA","322901","1024","4527959","320435","320900","1029","NA","4280238","320436","4280238","4280237","OMM Match to sample","2","4518000","8","yes","1024"
"147","33.333333333333336","33.333333333333336","705502.7777777778","705502.7777777778","black","no","legacy","legacy","legacy","0","relative","1","1","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","-70","-44","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","1831525","1831525","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6362075","1024","6363575","6359605","6360066","1029","NA","4528079","6359606","4528079","4528078","OMM Match to sample","3","6349525","9","yes","1024"
"111","40","40","636037.3","636037.3","black","no","legacy","legacy","legacy","0","relative","1","1","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","-90","37","Tue Oct 19 10:31:40 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/19102021.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","10848","10848","2","legacy","1024","2","48000","-16","experiment","0","even","NA","6377008","1024","6378508","6374552","6375006","1029","NA","6363704","6374553","6363704","6363703","OMM Match to sample","4","6360373","10","yes","1024"
