"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"142","100","100","1625","1625","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","3","7","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","1625","1625","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","5221","981","6722","2761","3217","985","NA","1135","2761","1135","1133","OMM Match to sample","1","1625","1","yes","1024"
"120","100","100","8199047.5","8199047.5","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","125","-76","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","16396470","16396470","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","16405783","981","16407283","16403328","16403780","985","NA","6857","16403328","6857","6855","OMM Match to sample","2","16398095","2","yes","1024"
"138","100","100","5552731","5552731","black","no","legacy","legacy","legacy","0","relative","1","1","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","15","-84","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","260098","260098","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","16669991","981","16671491","16667524","16667989","985","NA","16407425","16667525","16407425","16407424","OMM Match to sample","3","16658193","3","yes","1024"
"116","100","100","4174478.75","4174478.75","black","no","legacy","legacy","legacy","0","relative","1","1","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","100","-101","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","39722","39722","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","16713810","981","16715310","16711356","16711809","985","NA","16671633","16711356","16671633","16671631","OMM Match to sample","4","16697915","4","yes","1024"
"115","100","100","22735227.8","22735227.8","black","no","legacy","legacy","legacy","0","relative","1","1","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","6","-91","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","96978224","96978224","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","113696135","981","113697635","113693673","113694133","985","NA","16715448","113693674","16715447","16715446","OMM Match to sample","5","113676139","5","yes","1024"
"109","100","100","18958576.333333332","18958576.333333332","black","no","legacy","legacy","legacy","0","relative","1","1","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","67","112","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","75319","75319","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","113775565","981","113777065","113773110","113773564","985","NA","113697790","113773111","113697790","113697789","OMM Match to sample","6","113751458","6","yes","1024"
"139","100","100","16253836.714285715","16253836.714285715","black","no","legacy","legacy","legacy","0","relative","1","1","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","26","-60","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","25399","25399","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","113805066","981","113806566","113802605","113803064","985","NA","113777206","113802606","113777206","113777205","OMM Match to sample","7","113776857","7","yes","1024"
"144","100","100","14227305.75","14227305.75","black","no","legacy","legacy","legacy","0","relative","1","1","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","55","-69","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","41589","41589","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","113850768","981","113852268","113848298","113848763","985","NA","113806708","113848298","113806707","113806706","OMM Match to sample","8","113818446","8","yes","1024"
"110","88.88888888888889","88.88888888888889","12648148.777777778","12648148.777777778","black","no","legacy","legacy","legacy","0","relative","0","0","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","276","-175","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","8","8","14893","14893","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","113850768","981","113867301","113848298","113848763","985","NA","113852408","113848298","113852408","113852407","OMM Match to sample","8","113833339","9","yes","1024"
"149","90","90","11383367.3","11383367.3","black","no","legacy","legacy","legacy","0","relative","1","1","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","-21","19","Thu Sep 30 10:17:16 2021","A basic match-to-sample task","yes","BackgroundTask7.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/300921-M1.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","334","334","2","legacy","1024","2","48000","-16","experiment","30092","even","NA","113870217","981","113871718","113867769","113868213","985","NA","113867435","113867770","113867435","113867433","OMM Match to sample","9","113833673","10","yes","1024"
