"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"137","100","100","4647","4647","black","no","legacy","legacy","legacy","0","relative","1","1","0","0","0","NA","0","0","0","0","0","0","undefined","1","-28","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","4647","4647","2","legacy","1024","2","48000","-16","experiment","0","even","7567","876","9067","5566","879","NA","916","5566","916","914","OMM Match to sample","1","4647","1","yes","1024"
"117","100","100","3983","3983","black","no","legacy","legacy","legacy","0","relative","1","1","1","0","1","NA","0","1","1","1","1","1","undefined","1","-28","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","3319","3319","2","legacy","1024","2","48000","-16","experiment","0","even","14439","876","15939","12437","879","NA","9117","12437","9117","9115","OMM Match to sample","2","7966","2","yes","1024"
"129","100","100","3220","3220","black","no","legacy","legacy","legacy","0","relative","1","1","2","0","2","NA","0","2","2","2","2","2","undefined","2","-29","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","1694","1694","2","legacy","1024","2","48000","-16","experiment","0","even","19682","876","21182","17677","879","NA","15981","17677","15981","15979","OMM Match to sample","3","9660","3","yes","1024"
"103","100","100","2671.5","2671.5","black","no","legacy","legacy","legacy","0","relative","1","1","3","0","3","NA","0","3","3","3","3","3","undefined","2","-29","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","1026","1026","2","legacy","1024","2","48000","-16","experiment","0","even","24249","876","25749","22247","879","NA","21219","22247","21219","21217","OMM Match to sample","4","10686","4","yes","1024"
"105","100","100","2312.6","2312.6","black","no","legacy","legacy","legacy","0","relative","1","1","4","0","4","NA","0","4","4","4","4","4","undefined","2","-29","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","877","877","2","legacy","1024","2","48000","-16","experiment","0","even","28681","876","30181","26679","879","NA","25801","26679","25801","25799","OMM Match to sample","5","11563","5","yes","1024"
"113","100","100","39795228.333333336","39795228.333333336","black","no","legacy","legacy","legacy","0","relative","1","1","5","0","5","NA","0","5","5","5","5","5","undefined","-109","181","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","238759807","238759807","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238793529","238790025","879","NA","30218","238790025","30218","30216","OMM Match to sample","6","238771370","6","yes","1024"
"110","85.71428571428571","85.71428571428571","34110262.85714286","34110262.85714286","black","no","legacy","legacy","legacy","0","relative","0","0","6","0","6","NA","0","6","6","6","6","6","undefined","-86","350","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","470","470","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238794038","238790025","879","NA","238793567","238790025","238793567","238793565","OMM Match to sample","6","238771840","7","yes","1024"
"149","75","75","29847423.875","29847423.875","black","no","legacy","legacy","legacy","0","relative","0","0","7","0","7","NA","0","7","7","7","7","7","undefined","-180","359","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","7551","7551","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238801627","238790025","879","NA","238794074","238790025","238794073","238794072","OMM Match to sample","6","238779391","8","yes","1024"
"113","66.66666666666667","66.66666666666667","26531674.222222224","26531674.222222224","black","no","legacy","legacy","legacy","0","relative","0","0","8","0","8","NA","0","8","8","8","8","8","undefined","-157","334","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","5677","5677","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238807342","238790025","879","NA","238801664","238790025","238801664","238801663","OMM Match to sample","6","238785068","9","yes","1024"
"104","60","60","23879176.7","23879176.7","black","no","legacy","legacy","legacy","0","relative","0","0","9","0","9","NA","0","9","9","9","9","9","undefined","-414","219","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","6699","6699","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238814075","238790025","879","NA","238807374","238790025","238807374","238807373","OMM Match to sample","6","238791767","10","yes","1024"
"127","54.54545454545455","54.54545454545455","21710713","21710713","black","no","legacy","legacy","legacy","0","relative","0","0","10","0","10","NA","0","10","10","10","10","10","undefined","-221","372","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","26076","26076","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238840187","238790025","879","NA","238814109","238790025","238814109","238814108","OMM Match to sample","6","238817843","11","yes","1024"
"147","50","50","19901742.5","19901742.5","black","no","legacy","legacy","legacy","0","relative","0","0","11","0","11","NA","0","11","11","11","11","11","undefined","-233","377","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","3067","3067","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238843290","238790025","879","NA","238840222","238790025","238840222","238840221","OMM Match to sample","6","238820910","12","yes","1024"
"109","46.15384615384615","46.15384615384615","18372640.769230768","18372640.769230768","black","no","legacy","legacy","legacy","0","relative","0","0","12","0","12","NA","0","12","12","12","12","12","undefined","-172","376","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","23420","23420","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238866750","238790025","879","NA","238843330","238790025","238843329","238843328","OMM Match to sample","6","238844330","13","yes","1024"
"118","42.857142857142854","42.857142857142854","17066078.214285713","17066078.214285713","black","no","legacy","legacy","legacy","0","relative","0","0","13","0","13","NA","0","13","13","13","13","13","undefined","150","368","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","80765","80765","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","238947550","238790025","879","NA","238866784","238790025","238866784","238866782","OMM Match to sample","6","238925095","14","yes","1024"
"138","40","40","21069523.8","21069523.8","black","no","legacy","legacy","legacy","0","relative","0","0","14","0","14","NA","0","14","14","14","14","14","undefined","413","242","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","14","14","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","77117762","77117762","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","316065346","238790025","879","NA","238947583","238790025","238947583","238947582","OMM Match to sample","6","316042857","15","yes","1024"
"101","37.5","37.5","19753200.3125","19753200.3125","black","no","legacy","legacy","legacy","0","relative","0","0","15","0","15","NA","0","15","15","15","15","15","undefined","228","347","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","15","15","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","15","15","8348","8348","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","316073741","238790025","879","NA","316065393","238790025","316065393","316065390","OMM Match to sample","6","316051205","16","yes","1024"
"122","35.294117647058826","35.294117647058826","18593087.23529412","18593087.23529412","black","no","legacy","legacy","legacy","0","relative","0","0","16","0","16","NA","0","16","16","16","16","16","undefined","417","249","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","16","16","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","31278","31278","2","legacy","1024","2","48000","-16","experiment","0","even","238792029","876","316105054","238790025","879","NA","316073775","238790025","316073775","316073774","OMM Match to sample","6","316082483","17","yes","1024"
"113","38.888888888888886","38.888888888888886","18379125.611111112","18379125.611111112","black","no","legacy","legacy","legacy","0","relative","1","1","17","0","17","NA","0","17","17","17","17","17","undefined","52","10","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","17","17","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","14741778","14741778","2","legacy","1024","2","48000","-16","experiment","0","even","330848887","876","330850387","330846876","879","NA","316105097","330846876","316105097","316105095","OMM Match to sample","7","330824261","18","yes","1024"
"148","36.8421052631579","36.8421052631579","17417779.63157895","17417779.63157895","black","no","legacy","legacy","legacy","0","relative","0","0","18","0","18","NA","0","18","18","18","18","18","undefined","130","-291","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","18","18","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","3","3","113552","113552","2","legacy","1024","2","48000","-16","experiment","0","even","330848887","876","330963988","330846876","879","NA","330850436","330846876","330850436","330850434","OMM Match to sample","7","330937813","19","yes","1024"
"118","40","40","16546923.35","16546923.35","black","no","legacy","legacy","legacy","0","relative","1","1","19","0","19","NA","0","19","19","19","19","19","undefined","143","-48","Fri Aug 13 16:25:39 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","19","19","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","654","654","2","legacy","1024","2","48000","-16","experiment","0","even","330966686","876","330968187","330964682","879","NA","330964026","330964682","330964026","330964025","OMM Match to sample","8","330938467","20","yes","1024"
