"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"105","0","0","2847031","2847031","black","no","legacy","legacy","legacy","0","relative","0","0","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","457","287","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","2847031","2847031","2","legacy","1024","2","48000","-16","experiment","0","even","NA","NA","909","2847977","NA","NA","910","NA","945","NA","945","943","OMM Match to sample","0","2847031","1","yes","1024"
"109","50","50","1443889.5","1443889.5","black","no","legacy","legacy","legacy","0","relative","1","1","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","-187","-100","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","40748","40748","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","2892727","2888765","2889223","910","NA","2848017","2888765","2848017","2848015","OMM Match to sample","1","2887779","2","yes","1024"
"103","33.333333333333336","33.333333333333336","1752834","1752834","black","no","legacy","legacy","legacy","0","relative","0","0","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","-409","258","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","2370723","2370723","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5263491","2888765","2889223","910","NA","2892767","2888765","2892767","2892766","OMM Match to sample","1","5258502","3","yes","1024"
"106","25","25","1315961.75","1315961.75","black","no","legacy","legacy","legacy","0","relative","0","0","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-447","268","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","5345","5345","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5268875","2888765","2889223","910","NA","5263530","2888765","5263530","5263528","OMM Match to sample","1","5263847","4","yes","1024"
"134","20","20","1053077.6","1053077.6","black","no","legacy","legacy","legacy","0","relative","0","0","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","-443","288","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","1541","1541","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5270459","2888765","2889223","910","NA","5268918","2888765","5268918","5268917","OMM Match to sample","1","5265388","5","yes","1024"
"115","16.666666666666668","16.666666666666668","878225","878225","black","no","legacy","legacy","legacy","0","relative","0","0","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","448","321","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","3962","3962","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5274455","2888765","2889223","910","NA","5270493","2888765","5270493","5270492","OMM Match to sample","1","5269350","6","yes","1024"
"132","14.285714285714286","14.285714285714286","752960.5714285715","752960.5714285715","black","no","legacy","legacy","legacy","0","relative","0","0","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","487","325","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","1374","1374","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5275863","2888765","2889223","910","NA","5274489","2888765","5274489","5274488","OMM Match to sample","1","5270724","7","yes","1024"
"136","12.5","12.5","659005.75","659005.75","black","no","legacy","legacy","legacy","0","relative","0","0","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","440","297","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","1322","1322","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5277219","2888765","2889223","910","NA","5275897","2888765","5275897","5275895","OMM Match to sample","1","5272046","8","yes","1024"
"125","11.11111111111111","11.11111111111111","586555.8888888889","586555.8888888889","black","no","legacy","legacy","legacy","0","relative","0","0","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","456","300","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","6957","6957","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5284211","2888765","2889223","910","NA","5277254","2888765","5277254","5277253","OMM Match to sample","1","5279003","9","yes","1024"
"127","10","10","528348.1","528348.1","black","no","legacy","legacy","legacy","0","relative","0","0","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","465","316","Thu Aug 26 11:00:04 2021","A basic match-to-sample task","yes","BackgroundTask5.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","4478","4478","2","legacy","1024","2","48000","-16","experiment","0","even","NA","2891227","909","5288724","2888765","2889223","910","NA","5284245","2888765","5284245","5284243","OMM Match to sample","1","5283481","10","yes","1024"
