"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_delay_1_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_OMMConditioner_1","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_delay_1_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_OMMConditioner_1","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"141","100","100","801","801","black","no","legacy","legacy","legacy","0","relative","1","1","NA","0","0","0","NA","NA","0","0","0","0","0","0","undefined","0","0","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","11","11","801","801","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","5654","1696","2149","853","NA","894","1696","893","892","OMM Match to sample","1","801","1","yes","1024"
"104","50","50","143038.5","143038.5","black","no","legacy","legacy","legacy","0","relative","0","0","NA","1","0","1","NA","NA","0","1","1","1","1","1","undefined","-299","344","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","13","13","285276","285276","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","290973","1696","2149","853","NA","5695","1696","5695","5693","OMM Match to sample","1","286077","2","yes","1024"
"100","33.333333333333336","33.333333333333336","575406.6666666666","575406.6666666666","black","no","legacy","legacy","legacy","0","relative","0","0","NA","2","0","2","NA","NA","0","2","2","2","2","2","undefined","497","167","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","12","12","1440143","1440143","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","1731153","1696","2149","853","NA","291009","1696","291009","291007","OMM Match to sample","1","1726220","3","yes","1024"
"120","25","25","436559.25","436559.25","black","no","legacy","legacy","legacy","0","relative","0","0","NA","3","0","3","NA","NA","0","3","3","3","3","3","undefined","-326","-225","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","1","1","20017","20017","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","1751205","1696","2149","853","NA","1731188","1696","1731188","1731186","OMM Match to sample","1","1746237","4","yes","1024"
"104","20","20","349364","349364","black","no","legacy","legacy","legacy","0","relative","0","0","NA","4","0","4","NA","NA","0","4","4","4","4","4","undefined","-396","94","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","9","9","583","583","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","1751830","1696","2149","853","NA","1751246","1696","1751246","1751245","OMM Match to sample","1","1746820","5","yes","1024"
"136","16.666666666666668","16.666666666666668","291191.3333333333","291191.3333333333","black","no","legacy","legacy","legacy","0","relative","0","0","NA","5","0","5","NA","NA","0","5","5","5","5","5","undefined","368","166","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","12","12","328","328","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","1752189","1696","2149","853","NA","1751861","1696","1751861","1751859","OMM Match to sample","1","1747148","6","yes","1024"
"147","14.285714285714286","14.285714285714286","249647.85714285713","249647.85714285713","black","no","legacy","legacy","legacy","0","relative","0","0","NA","6","0","6","NA","NA","0","6","6","6","6","6","undefined","-42","214","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","14","14","387","387","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","1752609","1696","2149","853","NA","1752222","1696","1752222","1752221","OMM Match to sample","1","1747535","7","yes","1024"
"118","12.5","12.5","218496.125","218496.125","black","no","legacy","legacy","legacy","0","relative","0","0","NA","7","0","7","NA","NA","0","7","7","7","7","7","undefined","299","312","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","16","16","434","434","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","1753077","1696","2149","853","NA","1752642","1696","1752642","1752640","OMM Match to sample","1","1747969","8","yes","1024"
"106","11.11111111111111","11.11111111111111","194240","194240","black","no","legacy","legacy","legacy","0","relative","0","0","NA","8","0","8","NA","NA","0","8","8","8","8","8","undefined","-374","131","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","9","9","191","191","2","legacy","1024","2","48000","-16","experiment","0","even","NA","4153","850","1753301","1696","2149","853","NA","1753110","1696","1753110","1753109","OMM Match to sample","1","1748160","9","yes","1024"
"129","20","20","174851.3","174851.3","black","no","legacy","legacy","legacy","0","relative","1","1","NA","9","0","9","NA","NA","0","9","9","9","9","9","undefined","-75","127","Thu Sep  2 14:12:58 2021","A basic match-to-sample task","yes","BackgroundTask4.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","10","10","353","353","2","legacy","1024","2","48000","-16","experiment","0","even","NA","1756147","850","1757647","1753689","1754145","853","NA","1753336","1753690","1753336","1753334","OMM Match to sample","2","1748513","10","yes","1024"
