"SoundID","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_new_touch_response","count_delay_1","count_experiment","count_logger","count_new_OMMConditioner","count_new_loop","count_new_repeat_cycle","count_new_touch_response","count_sound","count_start_button","count_trial_sequence","cursor_roi","cursor_x","cursor_y","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_new_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_new_touch_response","response_time","response_time_new_touch_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_delay_1","time_experiment","time_logger","time_new_OMMConditioner","time_new_loop","time_new_repeat_cycle","time_new_touch_response","time_sound","time_start_button","time_trial_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"106","100","100","1003","1003","black","no","legacy","legacy","legacy","0","relative","1","1","0","0","0","NA","0","0","0","0","0","0","undefined","-36","-29","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","1003","1003","2","legacy","1024","2","48000","-16","experiment","0","even","3938","895","5439","1933","898","NA","929","3934","929","926","OMM Match to sample","1","1003","1","yes","1024"
"114","50","50","1318317","1318317","black","no","legacy","legacy","legacy","0","relative","0","0","1","0","1","NA","0","1","1","1","1","1","undefined","-305","24","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","9","9","2635631","2635631","2","legacy","1024","2","48000","-16","experiment","0","even","3938","895","2641117","1933","898","NA","5486","3934","5486","5484","OMM Match to sample","1","2636634","2","yes","1024"
"115","33.333333333333336","33.333333333333336","879281.6666666666","879281.6666666666","black","no","legacy","legacy","legacy","0","relative","0","0","2","0","2","NA","0","2","2","2","2","2","undefined","-165","-240","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","2","2","1211","1211","2","legacy","1024","2","48000","-16","experiment","0","even","3938","895","2642373","1933","898","NA","2641162","3934","2641162","2641160","OMM Match to sample","1","2637845","3","yes","1024"
"143","25","25","659812.75","659812.75","black","no","legacy","legacy","legacy","0","relative","0","0","3","0","3","NA","0","3","3","3","3","3","undefined","-3","-245","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","2","2","1406","1406","2","legacy","1024","2","48000","-16","experiment","0","even","3938","895","2643817","1933","898","NA","2642410","3934","2642410","2642409","OMM Match to sample","1","2639251","4","yes","1024"
"146","40","40","529069","529069","black","no","legacy","legacy","legacy","0","relative","1","1","4","0","4","NA","0","4","4","4","4","4","undefined","-251","-113","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","6094","6094","2","legacy","1024","2","48000","-16","experiment","0","even","2651955","895","2653455","2649953","898","NA","2643859","2651954","2643859","2643857","OMM Match to sample","2","2645345","5","yes","1024"
"112","33.333333333333336","33.333333333333336","441220.6666666667","441220.6666666667","black","no","legacy","legacy","legacy","0","relative","0","0","5","0","5","NA","0","5","5","5","5","5","undefined","-55","-225","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","2","2","1979","1979","2","legacy","1024","2","48000","-16","experiment","0","even","2651955","895","2655481","2649953","898","NA","2653501","2651954","2653501","2653498","OMM Match to sample","2","2647324","6","yes","1024"
"112","42.857142857142854","42.857142857142854","379562","379562","black","no","legacy","legacy","legacy","0","relative","1","1","6","0","6","NA","0","6","6","6","6","6","undefined","-114","-121","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","6","6","9610","9610","2","legacy","1024","2","48000","-16","experiment","0","even","2667134","895","2668634","2665133","898","NA","2655522","2667133","2655522","2655520","OMM Match to sample","3","2656934","7","yes","1024"
"121","37.5","37.5","333188.625","333188.625","black","no","legacy","legacy","legacy","0","relative","0","0","7","0","7","NA","0","7","7","7","7","7","undefined","-358","51","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","9","9","8575","8575","2","legacy","1024","2","48000","-16","experiment","0","even","2667134","895","2677256","2665133","898","NA","2668681","2667133","2668681","2668679","OMM Match to sample","3","2665509","8","yes","1024"
"143","33.333333333333336","33.333333333333336","298308.22222222225","298308.22222222225","black","no","legacy","legacy","legacy","0","relative","0","0","8","0","8","NA","0","8","8","8","8","8","undefined","190","-253","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","3","3","19265","19265","2","legacy","1024","2","48000","-16","experiment","0","even","2667134","895","2696553","2665133","898","NA","2677287","2667133","2677287","2677286","OMM Match to sample","3","2684774","9","yes","1024"
"117","40","40","268886.6","268886.6","black","no","legacy","legacy","legacy","0","relative","1","1","9","0","9","NA","0","9","9","9","9","9","undefined","250","-125","Mon Jul 26 09:56:17 2021","A basic match-to-sample task","yes","BackgroundTask3.osexp","C:/Users/covop/OneDrive/Documents/GitHub/OMM","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/covop/OneDrive/Documents/GitHub/OMM/subject-0.csv","legacy","Lentiform Loewenfeld","3.3.9","0","7","7","4092","4092","2","legacy","1024","2","48000","-16","experiment","0","even","2702682","895","2704182","2700680","898","NA","2696588","2702681","2696588","2696587","OMM Match to sample","4","2688866","10","yes","1024"
